tiempo,Ti_CB,Ti_CA,Ti_CI01,Ti_CI03,To,Ti_Ccomb,Ti
07/06/2019 15:50,30.62798827,30.07586346,30.40220478,30.50166197,30.4,30.09639266,32.4733076
07/06/2019 16:00,30.60289451,30.05400964,30.24002479,30.41857684,30,30.01654498,32.1468105
07/06/2019 16:10,30.5101882,29.96872043,29.98608417,30.2832768,29.2,29.86711789,32.0775885
07/06/2019 16:20,30.4364613,29.89985103,29.71492478,30.11946774,29.1,29.71293235,32.0418238
07/06/2019 16:30,30.46626043,29.93031556,29.81745954,30.14118643,29.5,29.76337387,31.944913
07/06/2019 16:40,30.48114858,29.9534642,29.7923416,30.06339787,29.6,29.76956971,31.8053153
07/06/2019 16:50,30.42769847,29.90378875,29.26152782,29.81697786,28.6,29.50766332,31.702636
07/06/2019 17:00,30.25884797,29.76147864,28.19549486,28.82826179,27.8,28.61728222,31.5203514
07/06/2019 17:10,30.08215379,29.61021787,27.92688651,28.60661449,27.5,28.4152327,31.2780744
07/06/2019 17:20,29.99432239,29.52732529,27.39550024,28.12284356,26.9,27.94773822,30.9088904
07/06/2019 17:30,29.76975844,29.31527123,26.24454565,27.22388203,25.6,27.05791007,30.4831751
07/06/2019 17:40,29.44515719,29.00498933,25.22763268,26.40104072,24.4,26.24129324,30.0920708
07/06/2019 17:50,29.25703185,28.82301815,24.37557016,25.69480679,23.5,25.54974484,29.7021202
07/06/2019 18:00,29.10956253,28.67412482,24.09303229,25.53736009,23,25.37259088,29.3733157
07/06/2019 18:10,28.95552779,28.47917203,25.53874079,26.90147809,22.2,26.01051246,29.1610349
07/06/2019 18:20,28.94463005,28.4757799,25.70978724,27.42087662,22,26.60559646,29.1045036
07/06/2019 18:30,28.83676296,28.37997048,24.51061213,26.53889477,21.9,26.07071684,29.0099002
07/06/2019 18:40,28.83291142,28.32439162,25.98906027,27.38229389,21.5,26.98790109,28.899145
07/06/2019 18:50,28.74606845,28.26970832,25.53428292,27.50062852,21.5,27.21749181,28.7007086
07/06/2019 19:00,28.68553827,28.23783756,25.95862531,27.50767654,22,27.13974558,28.5680331
07/06/2019 19:10,28.49157513,28.05898074,23.80984312,25.69001394,22.2,25.44969921,27.9427277
07/06/2019 19:20,28.45065529,28.01833575,24.19244916,26.02796875,22,25.75877545,27.6023862
07/06/2019 19:30,28.43718778,28.00537215,25.74792432,26.89573449,21.3,26.5716801,27.6900674
07/06/2019 19:40,28.28900289,27.86723406,24.12832663,26.34480197,21.2,25.83942617,27.6243065
07/06/2019 19:50,28.19300819,27.7735992,24.02386134,26.09826345,20.9,25.7512732,27.5620067
07/06/2019 20:00,28.0627261,27.64852147,23.8552988,25.94465365,20.4,25.63242259,27.4547126
07/06/2019 20:10,28.03670214,27.62446795,25.1562116,26.61297966,20.4,26.29158969,27.3370352
07/06/2019 20:20,27.98524875,27.57934983,24.85890854,26.5291082,20.7,26.18541752,27.2851187
07/06/2019 20:30,27.88505169,27.48400186,24.53742553,26.26783001,20.8,25.91078924,27.1893616
07/06/2019 20:40,27.81288713,27.41837083,24.88748492,26.40640174,20.9,26.17874804,27.1189859
07/06/2019 20:50,27.74601293,27.40359996,25.49386841,26.65024403,20.8,26.34434789,26.9436235
07/06/2019 21:00,27.65645629,27.29732541,25.28719991,26.63213279,20.5,26.33853774,26.8328683
07/06/2019 21:10,27.56644241,27.15667759,24.10927846,25.99703087,20.5,25.69352324,26.6759651
07/06/2019 21:20,27.44116612,27.0683165,23.97030175,25.82783098,20.7,25.34949284,26.6067431
07/06/2019 21:30,27.42412271,27.05452973,24.56408221,26.14160725,20.5,25.79664697,26.5467507
07/06/2019 21:40,27.38197897,27.01423684,24.62291442,26.18720574,20.6,25.95633682,26.4452251
07/06/2019 21:50,27.31463293,26.95416305,25.00678558,26.22594212,20.8,25.98219685,26.3529291
07/06/2019 22:00,27.24210842,26.8832636,24.90322439,26.14608314,20.9,25.75179029,26.2871682
07/06/2019 22:10,27.1551198,26.79652742,24.11164293,25.73442045,20.7,25.28348051,26.1694908
07/06/2019 22:20,27.04307013,26.68391737,24.16396908,25.68264699,20.3,25.13193504,26.1094984
07/06/2019 22:30,26.93140529,26.57811965,24.00812047,25.55710872,20.2,25.05916126,26.0587356
07/06/2019 22:40,26.81630985,26.4755082,23.2315342,25.1054243,20,24.76081476,25.9272138
07/06/2019 22:50,26.81504105,26.43446448,23.84675674,25.20516673,20,24.92667629,25.8383789
07/06/2019 23:00,26.78444544,26.41219244,24.10823688,25.44757438,19.8,25.20533033,25.7633884
07/06/2019 23:10,26.69177601,26.35224138,23.61046737,25.29598619,19.9,25.06611371,25.6064852
07/06/2019 23:20,26.6199899,26.30057567,24.10987381,25.41046583,19.7,25.17306722,25.5199577
07/06/2019 23:30,26.58180679,26.26633975,24.49453949,25.53564036,19.7,25.28431723,25.5222651
07/06/2019 23:40,26.53198924,26.21688682,24.45634398,25.52201133,19.8,25.26903701,25.438045
07/06/2019 23:50,26.4790801,26.16634175,24.32390638,25.45469672,19.9,25.20573501,25.391897
07/06/2019 23:59,26.39836244,26.09130061,24.0041908,25.35122008,19.8,25.09001852,
08/06/2019 00:00,,,,,,,25.3480564
08/06/2019 00:10,26.33944692,26.03601092,23.95754517,25.27676407,19.8,25.01150721,25.311138
08/06/2019 00:20,26.25772288,25.96005124,24.09575574,25.2442154,19.9,25.01006355,25.2742196
08/06/2019 00:30,26.22455971,25.93095998,24.18646805,25.23489102,19.9,25.00776023,25.2280716
08/06/2019 00:40,26.20423971,25.91003538,24.22157497,25.24427236,20,25.00231351,25.1876921
08/06/2019 00:50,26.15077215,25.85701938,23.85036839,25.09700772,20,24.89560471,25.1473126
08/06/2019 01:00,26.10119746,25.80767577,23.95496503,25.07782172,20,24.86980339,25.1000109
08/06/2019 01:10,26.05225993,25.75992401,24.05425506,25.09365392,20,24.86622687,25.0630925
08/06/2019 01:20,25.99711482,25.70685446,23.89429701,25.02592878,20,24.79725871,25.0100223
08/06/2019 01:30,25.93856047,25.650715,23.8709754,24.9508479,20,24.72610952,24.9546447
08/06/2019 01:40,25.87546025,25.59035815,23.98076579,24.90335083,20,24.68137548,24.8681172
08/06/2019 01:50,25.79447605,25.51260625,23.58334744,24.8160869,19.8,24.59834105,24.7954341
08/06/2019 02:00,25.69597588,25.41794754,22.92549558,24.46459304,19.7,24.26319509,24.7712064
08/06/2019 02:10,25.60775056,25.33287044,22.76813277,24.20403957,19.6,24.00819683,24.7123677
08/06/2019 02:20,25.53811944,25.26561484,22.70209022,24.14865983,19.4,23.95711331,24.7077529
08/06/2019 02:30,25.50944949,25.23780943,23.28141137,24.37581794,19.5,24.17423197,24.6662197
08/06/2019 02:40,25.50341047,25.23195343,23.57558246,24.55406506,19.6,24.34437295,24.6362235
08/06/2019 02:50,25.45971327,25.19013881,23.49895734,24.52726347,19.5,24.32013896,24.6050736
08/06/2019 03:00,25.40972461,25.14237988,23.40641547,24.45217897,19.6,24.24892588,24.5566182
08/06/2019 03:10,25.33441471,25.07028302,22.92799942,24.2402966,19.6,24.047781,24.4735518
08/06/2019 03:20,25.29153158,25.0292399,22.9510417,24.3104051,19.5,24.11140864,24.4077909
08/06/2019 03:30,25.16853907,24.91026805,22.40305357,23.9484965,19.2,23.74584644,24.3754873
08/06/2019 03:40,25.0778147,24.82266394,22.89633052,23.93270433,19.2,23.64746331,24.3247245
08/06/2019 03:50,25.0185753,24.76552126,22.84771824,23.97714485,19.1,23.74593829,24.2670395
08/06/2019 04:00,24.95127495,24.70071891,22.28983071,23.7878415,18.9,23.61349169,24.1539769
08/06/2019 04:10,24.8470985,24.6005311,21.68138244,23.38151064,18.7,23.21145472,24.0628346
08/06/2019 04:20,24.7239567,24.48141658,21.29813505,22.91628932,18.4,22.75852966,23.9797682
08/06/2019 04:30,24.71179001,24.42005562,21.43026643,23.06743356,18.4,22.9070433,23.8620908
08/06/2019 04:40,24.66690313,24.38099619,21.54212058,23.20400922,18.3,23.04314081,23.8067132
08/06/2019 04:50,24.57055689,24.31722154,21.25990361,23.00738753,18.3,22.84726692,23.7605652
08/06/2019 05:00,24.48434032,24.25154264,21.14020431,22.85124719,18.3,22.68867509,23.7109561
08/06/2019 05:10,24.45284183,24.21708091,21.04077455,22.75875209,18.4,22.6050422,23.6463489
08/06/2019 05:20,24.36741882,24.13576707,21.03616939,22.71435046,18.1,22.5649783,23.5448233
08/06/2019 05:30,24.30457743,24.07563013,21.20550054,22.80982948,18.1,22.65279175,23.4756013
