tiempo,Ti,To,Ti_CB,Ti_CI,Ti_CC
09/06/2019 01:00,26.6505837,23.7,28.15177514,26.75500262,26.48801996
09/06/2019 02:00,26.6528911,23.9,27.94329341,26.84328365,26.57719266
09/06/2019 03:00,26.4544547,23.2,27.61480305,26.9836554,26.69078953
09/06/2019 04:00,26.014895,22.4,27.16592564,25.5380332,25.34256036
09/06/2019 05:00,25.5130355,21.9,26.88894046,25.67011741,25.44567696
09/06/2019 06:00,25.2719122,21.7,26.59277277,25.65912978,25.39184072
09/06/2019 07:00,25.1300071,22.8,26.6974034,26.00816077,25.7775697
09/06/2019 08:00,25.4080488,24,27.12141554,26.36808044,26.14238947
09/06/2019 09:00,25.8464548,28.1,27.78353921,27.534427,27.26550877
09/06/2019 10:00,26.3287014,27.6,28.34307493,27.99919958,27.76112575
09/06/2019 11:00,26.960929,28.1,29.11285293,28.73352319,28.36646033
09/06/2019 12:00,27.8885038,29.8,30.02237028,29.74405062,29.31543546
09/06/2019 13:00,28.6303329,29.8,30.66581871,30.25359771,29.79885464
09/06/2019 14:00,29.1633423,31.1,31.22730079,31.03418133,30.66842009
09/06/2019 15:00,29.7113498,32.1,31.67317058,31.73095021,31.34202441
09/06/2019 16:00,30.1762909,31.9,31.99916086,31.93593763,31.42195616
09/06/2019 17:00,30.5016343,33,32.43461875,32.43823824,31.8597397
09/06/2019 18:00,30.7150688,32,32.72469013,32.6092835,32.07623197
09/06/2019 19:00,30.6862263,31.4,32.74375218,32.51506272,31.97655785
09/06/2019 20:00,30.2535888,29.1,32.18318701,30.92256888,30.59916303
09/06/2019 21:00,29.8001847,27.8,31.68280836,29.84744196,29.69118263
09/06/2019 22:00,29.4390766,28,31.47177459,30.04608286,29.74792891
09/06/2019 23:00,28.9718281,26.9,31.07406854,29.70611862,29.36613404
22/06/2019 01:00,27.5193198,23.5,29.4768751,28.47643986,28.11230911
22/06/2019 02:00,27.0013085,23.5,28.96955827,26.56781996,26.31757184
22/06/2019 03:00,25.7091645,18.5,27.85260146,25.24523912,25.30255301
22/06/2019 04:00,25.2696048,18.2,27.53089017,25.94740614,25.69945106
22/06/2019 05:00,24.9165726,18.4,27.10414247,25.54515148,25.3587263
22/06/2019 06:00,24.780436,18.8,26.65569444,24.75296355,24.47811144
22/06/2019 07:00,24.3847169,18.1,26.22454026,24.67436692,24.46083847
22/06/2019 08:00,24.4574,18.6,26.13066738,24.66887349,24.45897138
22/06/2019 09:00,24.4366334,19.9,26.15749128,24.92878387,24.65562625
22/06/2019 10:00,24.9581058,21.5,26.49102741,25.49128921,25.19931258
22/06/2019 11:00,25.5545687,25.2,27.41110537,26.54904905,26.31870562
22/06/2019 12:00,26.0702726,26.1,27.85672474,26.93779806,26.70752272
22/06/2019 13:00,26.6875021,26.2,28.37761489,27.45764503,27.1440572
22/06/2019 14:00,27.2885798,26.6,28.84847771,27.87727214,27.51631189
22/06/2019 15:00,27.7258321,28.6,29.4537396,28.93797206,28.63532995
22/06/2019 16:00,27.8642761,27.8,29.70324917,29.00925886,28.63399863
22/06/2019 17:00,27.7904393,26.6,29.54958777,28.77044811,28.38739296
22/06/2019 18:00,27.6773767,26.3,29.48208357,28.92722656,28.4825644
22/06/2019 19:00,27.607001,25.3,29.23710754,28.33657663,27.91511505
22/06/2019 20:00,27.2943483,25.1,28.95652689,28.40791999,27.98714765
22/06/2019 21:00,26.8524812,23.5,28.50896888,27.51367735,27.13687016
22/06/2019 22:00,26.7717222,23.3,28.18074061,26.99230472,26.62877049
22/06/2019 23:00,26.2525572,22.6,27.78373282,26.10974807,25.82610901
23/06/2019 01:00,25.4622727,21.8,26.99860523,25.50781671,25.25410007
23/06/2019 02:00,25.2580678,21.3,26.69196767,25.69312397,25.42126761
23/06/2019 03:00,24.976565,21.4,26.29079745,24.78880254,24.55126856
23/06/2019 04:00,24.9165726,21,26.11742371,25.20047308,24.96136457
23/06/2019 05:00,24.9811798,20.2,25.71693296,24.76390397,24.58220961
23/06/2019 06:00,23.8724741,18.8,25.15625709,23.54661847,23.35021664
23/06/2019 07:00,23.3556165,18.5,24.54101341,23.72591182,23.61739258
23/06/2019 08:00,23.7109561,19.4,24.72892122,23.34990264,23.23122094
23/06/2019 09:00,23.9451572,19.9,24.7694816,23.63604629,23.48167517
23/06/2019 10:00,24.0293773,22.6,25.54392484,23.85987834,23.72062742
23/06/2019 11:00,24.8231229,23.4,25.92540538,24.82702137,24.58422827
23/06/2019 12:00,25.7795402,24.8,26.70957548,25.60004092,25.3714558
23/06/2019 13:00,26.3079348,26.1,27.32893846,26.62865822,26.40759605
23/06/2019 14:00,26.9643901,26.7,27.76091446,27.22437439,26.82044136
23/06/2019 15:00,27.4154868,28.3,28.25290619,27.97012184,27.59945479
23/06/2019 16:00,27.8238966,27.9,28.51346578,28.17603458,27.91415642
23/06/2019 17:00,28.0327163,28.6,28.89759985,28.53095381,28.19029918
23/06/2019 18:00,28.0973235,28.1,29.31520314,28.76067366,28.45066151
23/06/2019 19:00,27.8481243,27,29.13212619,28.59010543,28.20017772
23/06/2019 20:00,27.3751073,25.2,28.73432011,28.11062788,27.75098328
23/06/2019 21:00,26.9436235,23.8,28.26546047,26.66577325,26.36411574
23/06/2019 22:00,26.8282535,23.7,27.99103802,26.6769072,26.36775964
23/06/2019 23:00,26.6805799,24.1,27.79801362,27.08104557,26.76162129
