Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,28.44873769792787,28.351353085041916,28.717196711405387,27.272241272790688,27.187649200575199,25.677504982935419 
 05/03  00:20:00,23.0,28.406030341779116,28.293568503480438,28.645618849799484,27.24771865014131,27.1579772063587,26.083554641014687 
 05/03  00:30:00,23.0,28.33139540831936,28.189856127952387,28.510061503702155,27.21126925050688,27.114715107248708,25.668536395244645 
 05/03  00:40:00,22.8,28.276107770316405,28.11013069577055,28.402715609908513,27.17711436203697,27.073816561304203,25.764920499693138 
 05/03  00:50:00,22.7,28.268397795341657,28.096118147701469,28.384437760539634,27.14638860162949,27.034934772280516,25.455809258753239 
 05/03  01:00:00,22.6,28.240646829718277,28.055557690553248,28.32166541191197,27.105692266816499,26.98723228953223,25.737161368589754 
 05/03  01:10:00,22.5,28.189722252949357,27.984644621843747,28.19930953031981,27.05853897562958,26.93369662695016,25.663382593187813 
 05/03  01:20:00,22.4,28.18031504253136,27.963667786693017,28.196548897265616,27.017829480638299,26.887097925438398,24.977157928365945 
 05/03  01:30:00,22.3,28.150445704228173,27.918374283125837,28.152854502739083,26.971771696665536,26.835057565852688,25.038894036731194 
 05/03  01:40:00,22.4,28.115059806630595,27.864449975212609,28.090478329709943,26.918795680898925,26.77662366394797,25.023006706941478 
 05/03  01:50:00,22.5,28.078533486102267,27.81167042073195,28.024282524623748,26.868944942718828,26.72089009809376,25.31757441626379 
 05/03  02:00:00,22.3,28.055583912926637,27.78472817718795,27.98211739832172,26.827022542033274,26.673284776516377,24.98405413597434 
 05/03  02:10:00,22.1,28.014174722610315,27.73446515474015,27.90799109183832,26.77664593662821,26.61653375132949,24.828808765156955 
 05/03  02:20:00,22.0,27.96346740107802,27.669334113041609,27.82034845660345,26.722028741887209,26.555046580244388,24.751898879266368 
