Date/Time,THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,28.118639495029659,27.944772101261355,28.39404903730645,27.182476986275156,27.07307089708138,25.864221487738253 
 05/03  00:20:00,28.02557366499292,27.831928953709644,28.20523170334956,27.152983678671484,27.037955355647026,25.975397832442039 
 05/03  00:30:00,28.019383407265555,27.813270966171478,28.21325720616113,27.123211828766395,27.002250828053023,25.565939590985388 
 05/03  00:40:00,27.989538882022566,27.76630850598637,28.162165723156254,27.087549218881848,26.96027763654127,25.77196393039408 
 05/03  00:50:00,27.955360656200619,27.721245280805407,28.09261770030116,27.051453981708954,26.917836102861945,25.426840905550244 
 05/03  01:00:00,27.90867393007247,27.657466661544118,27.996680946820108,27.009324222006005,26.869630478032936,25.62929945058596 
 05/03  01:10:00,27.856678265688186,27.58625076832662,27.878908296481876,26.962775622323364,26.8159334242913,25.440079287198729 
 05/03  01:20:00,27.853593691506445,27.57526325001602,27.886820667002377,26.92562992073082,26.7706529504825,24.944144859497724 
 05/03  01:30:00,27.827748425279933,27.538013678046416,27.850525599143475,26.87813003336339,26.71593542936591,25.047532886623775 
 05/03  01:40:00,27.792879680209546,27.48856007805016,27.790857954889458,26.824481013635287,26.65543788194384,24.96250526608099 
 05/03  01:50:00,27.771986031541905,27.463298034056359,27.752691660067478,26.782700716986889,26.60744272303922,25.24480545322487 
 05/03  02:00:00,27.734128725270865,27.41781161632106,27.68571879133619,26.732675450098115,26.550869085989786,24.95512148067741 
 05/03  02:10:00,27.684800552506489,27.356127667091906,27.600200765584544,26.677911995129674,26.490312938863803,24.779013027246525 
 05/03  02:20:00,27.638685122592464,27.296465046678358,27.521538495620406,26.62833767302672,26.435000813438206,24.702012088152754 
 05/03  02:30:00,27.596183088694997,27.242242079537204,27.44476293441729,26.580281877075014,26.38096422301213,24.99941967520695 
 05/03  02:40:00,27.582337953612517,27.223115251780489,27.424497004081937,26.53659307127819,26.33198251994544,24.487418623085668 
 05/03  02:50:00,27.544210761832646,27.17670774158518,27.34672103624127,26.487057625409798,26.276535797330625,25.171062075104318 
 05/03  03:00:00,27.511564947897889,27.134552490878716,27.304101456959388,26.437129188053704,26.220673649853276,24.474954727674147 
 05/03  03:10:00,27.450324453853303,27.05638829431627,27.189438503842739,26.381907695023228,26.15900430362264,24.983485950637033 
 05/03  03:20:00,27.42955750299958,27.029489888553955,27.14299499750239,26.335584867465664,26.10745523667822,25.357144929464494 
 05/03  03:30:00,27.38808616106402,26.976879052249559,27.07531076975741,26.280800029592869,26.046653758044788,24.588500520424565 
 05/03  03:40:00,27.347788720174465,26.926641710072386,26.99561156640562,26.22819479537148,25.988493115819546,25.161504772144548 
 05/03  03:50:00,27.27603744074386,26.83623115024606,26.869074939428054,26.169564648172807,25.92387090040501,24.46778967465166 
 05/03  04:00:00,27.251400273200546,26.805150072948778,26.82001260484194,26.11961013633568,25.86901887287794,25.085432872677115 
 05/03  04:10:00,27.209251309906855,26.751802304918795,26.753042023420549,26.06149635877411,25.805371739043254,24.501462625439339 
 05/03  04:20:00,27.14723052371113,26.674266720519076,26.640910979683555,26.000325173359838,25.738562647036824,24.77328740301651 
 05/03  04:30:00,27.12230348303381,26.638416743066768,26.62869221436027,25.93996079022529,25.672845417191497,24.01104160404424 
 05/03  04:40:00,27.08117155570201,26.58395106746113,26.57795647730398,25.880981827148408,25.608785454465115,24.185739767860093 
 05/03  04:50:00,27.041775815483768,26.52894621636752,26.535025244425264,25.816289527560458,25.538608641754306,23.976833410510975 
 05/03  05:00:00,27.018289700597465,26.496854502769304,26.51953594678745,25.761106629408514,25.478790043053505,23.445986786729529 
 05/03  05:10:00,26.97927584517452,26.44440624833273,26.482716432675823,25.69929178056784,25.411765757051997,23.73637963662481 
 05/03  05:20:00,26.92030831216207,26.375947552379267,26.37077894526778,25.639065972782647,25.346400479738575,23.336694172201854 
 05/03  05:30:00,26.870287338984839,26.315463220225156,26.275261631874025,25.58198426363447,25.284372114353955,23.902155313977809 
 05/03  05:40:00,26.78646503190132,26.217669749711008,26.108117693692529,25.51881896172802,25.215696735989309,23.714326651942679 
 05/03  05:50:00,26.748169907609915,26.16902955499615,26.059051461734265,25.457150892501028,25.148725886595597,23.188804466820764 
 05/03  06:00:00,26.699548136406937,26.106554472323727,26.001089136168834,25.396696469392528,25.08318811263314,22.906223668983004 
 05/03  06:10:00,26.664703290329663,26.061971009382775,25.948880380324739,25.334245376724568,25.015647028236459,23.265559245988194 
 05/03  06:20:00,26.625036597616643,26.0084325313303,25.89845802602884,25.268686337486807,24.944792429530588,23.349772781110596 
 05/03  06:30:00,26.598592923279804,25.968849711642549,25.886036770938668,25.200918633546868,24.871630771157379,22.417880251608204 
 05/03  06:40:00,26.550007670516778,25.906225814890808,25.837225267817403,25.136927500577039,24.80253171484163,22.389510213480745 
 05/03  06:50:00,26.501970647074157,25.844189555597198,25.795150565230807,25.06886607144949,24.728957049373834,22.53666809752012 
 05/03  07:00:00,26.490160105496366,25.826393761422449,25.799010266677518,25.011388395821908,24.66673083064913,22.85906198835096 
 05/03  07:10:00,26.45621009223751,25.779385656548116,25.772121752843377,24.945333689961065,24.595085629061779,23.804091332652044 
 05/03  07:20:00,26.43256269844525,25.74605586323461,25.75320998399265,24.88530594292049,24.52997040721559,23.695907865633015 
 05/03  07:30:00,26.439076807293867,25.7415657306307,25.82471144612892,24.82639188120918,24.465907414161245,23.41257153678497 
 05/03  07:40:00,26.468284680933104,25.760872815549427,25.93482584330443,24.772300074966034,24.406661290498155,23.100932039308416 
 05/03  07:50:00,26.519519759423937,25.79265479380515,26.114384536365518,24.715884034301778,24.34400105969535,23.495226828113965 
 05/03  08:00:00,26.557271436481295,25.816645971085454,26.238893289555916,24.66634022557931,24.287800284424816,23.78768629218807 
 05/03  08:10:00,26.589267287269267,25.84365473310313,26.312652092019385,24.627441311176768,24.242030313378387,24.235593582298216 
 05/03  08:20:00,26.620213746811129,25.86517323672329,26.40077715958017,24.590492534246548,24.197381136258579,24.219781358548305 
 05/03  08:30:00,26.641801882135167,25.876737371453787,26.478656234530975,24.558032745326423,24.156812244176515,24.205926821569244 
 05/03  08:40:00,26.663478560467977,25.889583832730819,26.553114849818749,24.536570314585395,24.128405815669493,24.2496007582898 
 05/03  08:50:00,26.694460277207566,25.914204040728384,26.637323278859975,24.52237280056061,24.10833762482529,24.373898089072499 
 05/03  09:00:00,26.728977024816776,25.945247821082189,26.72376243541839,24.51324020192379,24.09426529874482,24.273782773596844 
 05/03  09:10:00,26.755972042019914,25.968595283076174,26.931116182973953,24.510426008751464,24.087985705626328,24.677494501985508 
 05/03  09:20:00,26.79708543510004,26.006864803926985,27.154332087931377,24.51126417339725,24.085636207523466,24.859905915636238 
 05/03  09:30:00,26.840068109003299,26.049971241180804,27.313640419764906,24.517153749446569,24.088908540136879,24.98781510472551 
 05/03  09:40:00,26.87446480892999,26.091665709893709,27.398062320634908,24.528482747732089,24.09866233309983,24.948326130140683 
 05/03  09:50:00,26.902919857267219,26.13183825691363,27.45656006751663,24.544232226061444,24.113426680337367,25.198864064767855 
 05/03  10:00:00,26.924627461679177,26.165027606949854,27.510938984191655,24.564247460358908,24.132930766745063,24.907437098231648 
 05/03  10:10:00,26.954047914043867,26.204923743333788,27.591040007649619,24.58858739512314,24.157364478056654,24.84523941906332 
 05/03  10:20:00,26.999985240801857,26.26690805542846,27.711301476829047,24.616369466140115,24.18574729362163,24.922700232209239 
 05/03  10:30:00,27.033396423552508,26.310091300018287,27.794747699659206,24.64379304435063,24.2139892389754,25.163047230626885 
 05/03  10:40:00,27.073606360873087,26.359019383231077,27.903305021960386,24.675570041782295,24.246795147169853,25.758998405045739 
 05/03  10:50:00,27.109145122154897,26.406110426297319,27.995943708887724,24.709441627891989,24.281820034564914,25.314186028550869 
 05/03  11:00:00,27.16455209523623,26.47878158623782,28.142238607298514,24.75036704489332,24.324073281424039,25.524006499564686 
 05/03  11:10:00,27.220458556641974,26.547214235891507,28.272527567925118,24.78964285357379,24.364389739127515,26.0187809715047 
 05/03  11:20:00,27.291665626387077,26.637346921652229,28.459633590231907,24.836241660615003,24.412224205586275,25.980266349885299 
 05/03  11:30:00,27.3370785352072,26.688644289757155,28.567848809973449,24.880148213865355,24.456978763750258,27.019278009651367 
 05/03  11:40:00,27.39699896294845,26.76252270852248,28.708325595651979,24.930715328146026,24.508268633550757,27.167646941574597 
 05/03  11:50:00,27.47737436476274,26.858150359709886,28.893324094221918,24.9875357031039,24.565766001124776,27.359653860336484 
 05/03  12:00:00,27.564797169020794,26.960000478921147,29.088459770877017,25.044720719608816,24.62613007002933,27.273549441335296 
 05/03  12:10:00,27.629934076957566,27.033575966676666,29.232252365954943,25.101413432647193,24.68716247670229,28.362861366875629 
 05/03  12:20:00,27.703679260570217,27.124008969293166,29.399108483604889,25.165628927262746,24.75671105100878,27.532352316438585 
 05/03  12:30:00,27.719762218217807,27.147768763402227,29.43515004842549,25.22629272108661,24.826209339827167,26.982877753142249 
 05/03  12:40:00,27.754878477695443,27.19070616480169,29.520519633881116,25.295469413515606,24.905456392105078,28.29513191370441 
 05/03  12:50:00,27.801312906746163,27.249183960976823,29.606236313466917,25.372517952187385,24.989216279094838,27.454934781109054 
 05/03  13:00:00,27.826493742120776,27.28643718528766,29.67494796768573,25.452249682258928,25.077883850711069,28.863393541337744 
 05/03  13:10:00,27.876101629985596,27.351515414126927,29.78762575603613,25.539371268504845,25.174510369552949,28.87443724091078 
 05/03  13:20:00,27.974577549854325,27.464703944330883,29.970711299532004,25.628386826463193,25.27359638635706,29.105505041165576 
 05/03  13:30:00,28.03233979748169,27.534414942877416,30.082063496038918,25.704948710306139,25.360767843580903,28.209159788095037 
 05/03  13:40:00,28.075613368485145,27.591070156065528,30.159163118851369,25.78234753435907,25.450087226911589,28.865540961391006 
 05/03  13:50:00,28.190067121830386,27.72882498267896,30.350870850364126,25.87370174747149,25.557309465700006,28.670425361025239 
 05/03  14:00:00,28.28356693707594,27.843164776284096,30.521008431049,25.964032944785467,25.666177794267506,30.118734597870323 
 05/03  14:10:00,28.2434588153377,27.824335158037294,30.472359588937456,26.048751796669664,25.772938289549136,29.158125814199189 
 05/03  14:20:00,28.285006323721448,27.888308538325949,30.545235935802965,26.136745946569975,25.887751661229033,29.695412001213286 
 05/03  14:30:00,28.381927543626369,28.018072702036727,30.70298979199605,26.2367697741587,26.01588210014002,28.796068609660833 
