Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,23.0,28.103059610208566,27.941673005493475,28.30185813953615,27.17827125586527,27.072255530178127,25.842426361262555 
 05/03  00:20:00,23.0,28.009870362946907,27.828795049935058,28.112845563776398,27.14875172846749,27.037142094789635,25.972532058520085 
 05/03  00:30:00,23.0,28.003568821306975,27.81005810799283,28.124374837207129,27.1189545949533,27.00144211668063,25.555958678914064 
 05/03  00:40:00,22.8,27.973613088434339,27.763004740618525,28.07136759721636,27.083256053945456,26.959455216896488,25.763166854245953 
 05/03  00:50:00,22.7,27.939323078974888,27.717977419163085,28.003109313110394,27.04711640590746,26.917006749387939,25.418665663664414 
 05/03  01:00:00,22.6,27.89244848999914,27.654230973131754,27.90494848118555,27.00491552986141,26.86879402163081,25.62112563955946 
 05/03  01:10:00,22.5,27.840339293299228,27.58301685701118,27.785719865446568,26.958284312309897,26.815088601000249,25.43170616558273 
 05/03  01:20:00,22.4,27.837276278118158,27.57201043427382,27.796058839003455,26.92121750915389,26.769803452109167,24.93566058586707 
 05/03  01:30:00,22.3,27.811355659106984,27.534741852961206,27.762002955686314,26.873714237724998,26.715078992453699,25.039013923642803 
 05/03  01:40:00,22.4,27.776148271818557,27.485261936906878,27.702184482065417,26.820042638634946,26.654571655378285,24.95394257576241 
 05/03  01:50:00,22.5,27.75538060655452,27.4599724432494,27.66463835053355,26.778292254946373,26.606567562582,25.236112585496799 
