Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,-1.796817519566293,66.85561485332622,-1.796817519566293,66.85561485332622 
 05/03  00:20:00,-1.7540802125152105,64.62430911707512,-1.7540802125152105,64.62430911707512 
 05/03  00:30:00,-1.6964279743239197,61.56033451935289,-1.6964279743239197,61.56033451935289 
 05/03  00:40:00,-1.7732426858128805,65.62955483676113,-1.7732426858128805,65.62955483676113 
 05/03  00:50:00,-1.7960572944781688,66.81627281139845,-1.7960572944781688,66.81627281139845 
 05/03  01:00:00,-1.8640540388332985,70.27717979506295,-1.8640540388332985,70.27717979506295 
 05/03  01:10:00,-1.9959046486389205,76.57641513059153,-1.9959046486389205,76.57641513059153 
 05/03  01:20:00,-1.9111846859371429,72.59781243662263,-1.9111846859371429,72.59781243662263 
 05/03  01:30:00,-1.8512647951592123,69.63577671446385,-1.8512647951592123,69.63577671446385 
 05/03  01:40:00,-1.8100297759064575,67.53717129921519,-1.8100297759064575,67.53717129921519 
 05/03  01:50:00,-1.901429186992381,72.12329194969237,-1.901429186992381,72.12329194969237 
 05/03  02:00:00,-1.9752906807099942,75.63310817048444,-1.9752906807099942,75.63310817048444 
 05/03  02:10:00,-2.000797830243123,76.79785313314793,-2.000797830243123,76.79785313314793 
 05/03  02:20:00,-2.0176170932379344,77.5515730086579,-2.0176170932379344,77.5515730086579 
 05/03  02:30:00,-2.133460595189827,82.40857026375083,-2.133460595189827,82.40857026375083 
 05/03  02:40:00,-2.135818486210372,82.50102489186077,-2.135818486210372,82.50102489186077 
 05/03  02:50:00,-2.277578412675226,87.55523102505954,-2.277578412675226,87.55523102505954 
 05/03  03:00:00,-2.2758328034183248,87.49916777233037,-2.2758328034183248,87.49916777233037 
 05/03  03:10:00,-2.4084442041761338,91.31374878129978,-2.4084442041761338,91.31374878129978 
 05/03  03:20:00,-2.480386445924354,93.01235990816889,-2.480386445924354,93.01235990816889 
 05/03  03:30:00,-2.5230034842346025,93.90064793858554,-2.5230034842346025,93.90064793858554 
 05/03  03:40:00,-2.619197357933925,95.60247254301024,-2.619197357933925,95.60247254301024 
 05/03  03:50:00,-2.679257515603942,96.46784809681678,-2.679257515603942,96.46784809681678 
 05/03  04:00:00,-2.7766357850847109,97.58687381790513,-2.7766357850847109,97.58687381790513 
 05/03  04:10:00,-2.8224985224391379,98.00629928969704,-2.8224985224391379,98.00629928969704 
 05/03  04:20:00,-2.92292887962866,98.72258769804279,-2.92292887962866,98.72258769804279 
 05/03  04:30:00,-2.8496976754432388,98.22614320845053,-2.8496976754432388,98.22614320845053 
 05/03  04:40:00,-2.8750165974061119,98.41285747530125,-2.8750165974061119,98.41285747530125 
 05/03  04:50:00,-2.862775768157906,98.32467778628704,-2.862775768157906,98.32467778628704 
 05/03  05:00:00,-2.8083528007242646,97.88365805211136,-2.8083528007242646,97.88365805211136 
 05/03  05:10:00,-2.7923999379647177,97.73823423970784,-2.7923999379647177,97.73823423970784 
 05/03  05:20:00,-2.95436782015751,98.89751625281385,-2.95436782015751,98.89751625281385 
 05/03  05:30:00,-3.0819032489280029,99.41763327073885,-3.0819032489280029,99.41763327073885 
 05/03  05:40:00,-3.247661836004449,99.7710952935771,-3.247661836004449,99.7710952935771 
 05/03  05:50:00,-3.2422987986171205,99.76361361928913,-3.2422987986171205,99.76361361928913 
 05/03  06:00:00,-3.234166267521564,99.75186271008237,-3.234166267521564,99.75186271008237 
 05/03  06:10:00,-3.277112678135696,99.80861622995083,-3.277112678135696,99.80861622995083 
 05/03  06:20:00,-3.2932762128210228,99.82682947122328,-3.2932762128210228,99.82682947122328 
 05/03  06:30:00,-3.1264668197037159,99.54146966126456,-3.1264668197037159,99.54146966126456 
 05/03  06:40:00,-3.0921406100719959,99.44833819306176,-3.0921406100719959,99.44833819306176 
 05/03  06:50:00,-3.1208879212888824,99.52731624452002,-3.1208879212888824,99.52731624452002 
 05/03  07:00:00,-3.197955859922302,99.69317250603609,-3.197955859922302,99.69317250603609 
 05/03  07:10:00,-3.34857293714451,99.87817273695919,-3.34857293714451,99.87817273695919 
 05/03  07:20:00,-3.432350014628933,99.93053444737022,-3.432350014628933,99.93053444737022 
 05/03  07:30:00,-3.2806164208339716,99.81270050863916,-3.2806164208339716,99.81270050863916 
 05/03  07:40:00,-3.066088061940652,99.36736015429755,-3.066088061940652,99.36736015429755 
 05/03  07:50:00,-2.9271404352234215,98.74726181435494,-2.9271404352234215,98.74726181435494 
 05/03  08:00:00,-2.8194874223654158,97.98068050943874,-2.8194874223654158,97.98068050943874 
 05/03  08:10:00,-2.7050369757446774,96.79664853281,-2.7050369757446774,96.79664853281 
 05/03  08:20:00,-2.6234542904878799,95.66857913179145,-2.6234542904878799,95.66857913179145 
 05/03  08:30:00,-2.581649306365086,94.9864014250443,-2.581649306365086,94.9864014250443 
 05/03  08:40:00,-2.5348003896765829,94.13154241017108,-2.5348003896765829,94.13154241017108 
 05/03  08:50:00,-2.47774084352387,92.95437259963768,-2.47774084352387,92.95437259963768 
 05/03  09:00:00,-2.432611578423051,91.91282710348023,-2.432611578423051,91.91282710348023 
 05/03  09:10:00,-0.2054029539128088,5.874977525381382,-0.2054029539128088,5.874977525381382 
 05/03  09:20:00,-0.074137004242491,5.113804070389776,-0.074137004242491,5.113804070389776 
 05/03  09:30:00,0.04824418723059915,5.048185478437603,0.04824418723059915,5.048185478437603 
 05/03  09:40:00,0.09587129651055479,5.190342776804982,0.09587129651055479,5.190342776804982 
 05/03  09:50:00,0.07762240205032819,5.124759072105178,0.07762240205032819,5.124759072105178 
 05/03  10:00:00,0.11242498384000714,5.261788928981744,0.11242498384000714,5.261788928981744 
 05/03  10:10:00,0.198537909479729,5.817370416824332,0.198537909479729,5.817370416824332 
 05/03  10:20:00,0.2540195912862958,6.339449532433363,0.2540195912862958,6.339449532433363 
 05/03  10:30:00,0.2887303079152705,6.7318580578921829,0.2887303079152705,6.7318580578921829 
 05/03  10:40:00,0.3841267742291896,8.072980564486457,0.3841267742291896,8.072980564486457 
 05/03  10:50:00,0.4410369640192443,9.057835306751528,0.4410369640192443,9.057835306751528 
 05/03  11:00:00,0.4461124905498524,9.152417178570105,0.4461124905498524,9.152417178570105 
 05/03  11:10:00,0.49274237000644297,10.073265544305471,0.49274237000644297,10.073265544305471 
 05/03  11:20:00,0.4923414850478211,10.064949237254482,0.4923414850478211,10.064949237254482 
 05/03  11:30:00,0.6211186187507151,13.09433203506623,0.6211186187507151,13.09433203506623 
 05/03  11:40:00,0.6716061072507875,14.478281025041725,0.6716061072507875,14.478281025041725 
 05/03  11:50:00,0.7305444513591047,16.233401694587458,0.7305444513591047,16.233401694587458 
 05/03  12:00:00,0.823132791561856,19.291279571751575,0.823132791561856,19.291279571751575 
 05/03  12:10:00,0.9197778975139435,22.866483462936288,0.9197778975139435,22.866483462936288 
 05/03  12:20:00,0.92649571148261,23.12916840256179,0.92649571148261,23.12916840256179 
 05/03  12:30:00,0.9118755398904651,22.559801429271447,0.9118755398904651,22.559801429271447 
 05/03  12:40:00,0.9551064531799042,24.268060453986125,0.9551064531799042,24.268060453986125 
 05/03  12:50:00,1.0083138139733415,26.471018184941998,1.0083138139733415,26.471018184941998 
 05/03  13:00:00,1.0640680562268086,28.893611526845903,1.0640680562268086,28.893611526845903 
 05/03  13:10:00,1.1538028584162539,33.02152025499082,1.1538028584162539,33.02152025499082 
 05/03  13:20:00,1.2538765324928528,37.920701796912108,1.2538765324928528,37.920701796912108 
 05/03  13:30:00,1.2783814985967779,39.16168541729195,1.2783814985967779,39.16168541729195 
 05/03  13:40:00,1.279515092094197,39.21944748773044,1.279515092094197,39.21944748773044 
 05/03  13:50:00,1.3881780961326378,44.88277220927119,1.3881780961326378,44.88277220927119 
 05/03  14:00:00,1.4716769751134582,49.364231135308319,1.4716769751134582,49.364231135308319 
 05/03  14:10:00,1.431817167090866,47.21450765194084,1.431817167090866,47.21450765194084 
 05/03  14:20:00,1.490085626068405,50.361866076932617,1.490085626068405,50.361866076932617 
 05/03  14:30:00,1.5622403082895702,54.28850732468824,1.5622403082895702,54.28850732468824 
 05/03  14:40:00,1.6670624749070789,59.981309799237397,1.6670624749070789,59.981309799237397 
 05/03  14:50:00,1.5514997799632069,53.70319054875595,1.5514997799632069,53.70319054875595 
 05/03  15:00:00,1.5482518497311125,53.52620547933232,1.5482518497311125,53.52620547933232 
 05/03  15:10:00,1.6831410924573827,60.84716464205834,1.6831410924573827,60.84716464205834 
 05/03  15:20:00,1.695219136170366,61.49554508122203,1.695219136170366,61.49554508122203 
 05/03  15:30:00,1.5768510686954956,55.08468340149806,1.5768510686954956,55.08468340149806 
 05/03  15:40:00,1.5995265701350783,56.31954649447126,1.5995265701350783,56.31954649447126 
 05/03  15:50:00,1.6502092402349667,59.0708298152745,1.6502092402349667,59.0708298152745 
 05/03  16:00:00,1.614245540933233,57.12013669451966,1.614245540933233,57.12013669451966 
 05/03  16:10:00,1.6470622137294096,58.900522333215437,1.6470622137294096,58.900522333215437 
 05/03  16:20:00,1.3101066913935274,40.7894466037745,1.3101066913935274,40.7894466037745 
 05/03  16:30:00,0.9997160945840611,26.107697522252424,0.9997160945840611,26.107697522252424 
 05/03  16:40:00,0.9073348827354416,22.384723035032267,0.9073348827354416,22.384723035032267 
 05/03  16:50:00,0.856371339545021,20.477374652282238,0.856371339545021,20.477374652282238 
 05/03  17:00:00,1.0142101250598204,26.72179338105181,1.0142101250598204,26.72179338105181 
 05/03  17:10:00,0.8468841382262096,20.134130209177984,0.8468841382262096,20.134130209177984 
 05/03  17:20:00,0.8077657571236224,18.75857121706936,0.8077657571236224,18.75857121706936 
 05/03  17:30:00,0.8170773002922344,19.080174871826288,0.8170773002922344,19.080174871826288 
 05/03  17:40:00,0.9022610730793751,22.19007458847507,0.9022610730793751,22.19007458847507 
 05/03  17:50:00,0.9981240321299061,26.04072756123503,0.9981240321299061,26.04072756123503 
 05/03  18:00:00,1.07158676543833,29.22892061054668,1.07158676543833,29.22892061054668 
 05/03  18:10:00,-0.2394492319958862,6.1898401050954139,-0.2394492319958862,6.1898401050954139 
 05/03  18:20:00,-0.37864740269954935,7.9854714413153549,-0.37864740269954935,7.9854714413153549 
 05/03  18:30:00,-0.37582465071595119,7.940890369174653,-0.37582465071595119,7.940890369174653 
 05/03  18:40:00,-0.37918074683691507,7.9939329914407299,-0.37918074683691507,7.9939329914407299 
 05/03  18:50:00,-0.38573437795430107,8.09889826821832,-0.38573437795430107,8.09889826821832 
 05/03  19:00:00,-0.4482767105715602,9.193084005219859,-0.4482767105715602,9.193084005219859 
 05/03  19:10:00,-0.4849983673995455,9.913844802108202,-0.4849983673995455,9.913844802108202 
