Date/Time,THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,28.03656207376768,27.92698851456168,26.68367595182769,27.160796021352703,27.068522718042897,25.70344615761218 
 05/03  00:20:00,27.94369357182189,27.81447977228491,26.515676189279245,27.13137666800567,27.033623990683937,25.99178089561336 
 05/03  00:30:00,27.93734291468968,27.79611973701958,26.977209680232254,27.101820195559428,26.998356844310757,25.509784397345557 
 05/03  00:40:00,27.90716982496136,27.749244866094153,26.97308333729652,27.06598783027393,26.956338788639085,25.72737270288736 
 05/03  00:50:00,27.87257492326506,27.704342084341304,26.888110441019476,27.029624504056725,26.91380781115273,25.38958334977886 
 05/03  01:00:00,27.825092482740918,27.64073897205852,26.68265459184673,26.987112828960027,26.865567040071537,25.590243231585818 
 05/03  01:10:00,27.794036310153943,27.600238291379278,26.35905269104817,26.946237638984134,26.817785413557688,25.409804681661237 
 05/03  01:20:00,27.75135178282143,27.53627497115892,26.6740457192888,26.896296803803549,26.761110634122283,24.98911386036492 
 05/03  01:30:00,27.713824132994945,27.482239243075936,26.89244825461558,26.850687079495257,26.707168914589734,25.01190720846935 
 05/03  01:40:00,27.69127695212032,27.448542089173896,26.994992363187575,26.802721398274416,26.651632353224796,24.912973449713925 
 05/03  01:50:00,27.67742076074513,27.432544844121219,26.74835800098963,26.760119934189495,26.602944604198798,25.207037831267479 
 05/03  02:00:00,27.644372787846519,27.394115879754936,26.591324601867887,26.709826599518779,26.546066922783497,24.915014628244245 
 05/03  02:10:00,27.59768404197773,27.33708747113335,26.570251232443384,26.655531915398528,26.485817114859726,24.73690944397701 
 05/03  02:20:00,27.55225663451435,27.279310983129805,26.55906867737852,26.60609274179098,26.430606725025365,24.660775801627886 
 05/03  02:30:00,27.52926666108867,27.251656396921548,26.24091863159814,26.56411493655181,26.38335759147118,24.930954202425114 
 05/03  02:40:00,27.482949017713407,27.19058415804283,26.302255699076026,26.509534050790035,26.32219167629939,24.523049950836545 
 05/03  02:50:00,27.45335282845739,27.154766205832268,25.894141458950405,26.463321168022735,26.270391891340144,25.12360469986016 
 05/03  03:00:00,27.421493108941435,27.113665731763633,25.98928035026774,26.414694040348537,26.215997910822368,24.432083980583799 
 05/03  03:10:00,27.36259367617572,27.038602556483619,25.63785795419909,26.359535898985148,26.1544355937995,24.94307375535258 
 05/03  03:20:00,27.341885535424649,27.011875026462357,25.464518816964107,26.31330669521717,26.10294612363711,25.32957654021215 
 05/03  03:30:00,27.300601456915257,26.95971678576934,25.41485461481854,26.25850864545074,26.04213850662511,24.54673840616629 
 05/03  03:40:00,27.26035161990427,26.909709127308476,25.166556379387978,26.2059378578732,25.983996759626139,25.09915099222948 
 05/03  03:50:00,27.18841384303609,26.81954298595177,25.027660331475546,26.14724593828587,25.91935571712628,24.4287368429543 
 05/03  04:00:00,27.13262181137276,26.74875015314302,24.821950665866063,26.090646760375298,25.857182779553903,24.66450209047221 
 05/03  04:10:00,27.089372648267845,26.693741288078479,24.722800534025138,26.032106402992118,25.79308696157797,24.597813327612898 
 05/03  04:20:00,27.043317226118803,26.637257418845839,24.52358691090002,25.974049944296497,25.72972830315552,24.71746035750979 
 05/03  04:30:00,27.024831056494283,26.610426932365795,24.813382498027044,25.91818333608376,25.66891184163101,23.970930688922566 
 05/03  04:40:00,26.98759271879134,26.56184637692316,24.78230418857811,25.85908876852557,25.604733833163786,24.14898904434533 
 05/03  04:50:00,26.95040518298796,26.510680728848766,24.81334552467918,25.793875824672634,25.53402144108759,23.926750044626365 
 05/03  05:00:00,26.92643287860208,26.47851956928334,25.024295709470615,25.738922283779144,25.474437619252045,23.39945118533354 
