Date/Time,THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,28.353188017469355,28.333079625033159,26.876555986823285,27.24703533096855,27.183319431573897,25.575224776086349 
 05/03  00:20:00,28.31092956407534,28.274608976240108,27.15828654395348,27.220905468021639,27.151996372415576,26.020682335058145 
 05/03  00:30:00,28.280367829183566,28.230793363539257,27.354260688457367,27.19139935689148,27.11672195592063,25.59808149319155 
 05/03  00:40:00,28.221561472109955,28.151748035667226,27.143576529829308,27.15393774700122,27.072533278230979,25.703874557806313 
 05/03  00:50:00,28.190534563330606,28.108339888466565,27.131187568303284,27.119032266124149,27.030312409146114,25.41510323568722 
 05/03  01:00:00,28.145585795716529,28.04342879350774,26.943366739332907,27.078797590055879,26.982584837500015,25.688350383339203 
 05/03  01:10:00,28.109497720469425,27.99468311779008,26.558687068238105,27.037778600054695,26.935204136638,25.609456525935266 
 05/03  01:20:00,28.092142926456039,27.961739479683805,27.070218053027195,26.995006510206527,26.885848144952527,24.92675319268199 
 05/03  01:30:00,28.053009768220404,27.90228043566362,27.283677752873463,26.94506982615864,26.829789430696175,24.99171375545164 
 05/03  01:40:00,28.014241088331159,27.84302856055016,27.267753220850158,26.89201537758488,26.77132460139258,24.973241400747765 
 05/03  01:50:00,27.978197848973559,27.791132562540175,26.986990485466874,26.842954997760445,26.71635189972709,25.26755309098501 
 05/03  02:00:00,27.955877390537304,27.765330838355746,26.923012386688727,26.800974840544478,26.668585674040295,24.934588196505719 
 05/03  02:10:00,27.91403040983885,27.71550990611822,26.880702073918916,26.750548428163986,26.611783571367057,24.779250916398494 
 05/03  02:20:00,27.86242645499139,27.650806388860553,26.801225016042478,26.69597116660036,26.550353357285848,24.702187320356754 
 05/03  02:30:00,27.834196899566416,27.61597857895446,26.457528127511627,26.653207951879389,26.501898894310309,25.013490309131109 
 05/03  02:40:00,27.781811144395978,27.54635763486537,26.523884145417904,26.598791102226767,26.440757959689785,24.546367797962068 
 05/03  02:50:00,27.749649908843528,27.506955237173299,26.077307028496869,26.551880655128728,26.387767899318779,25.201019062239057 
 05/03  03:00:00,27.716614969066577,27.46393627886997,26.184016303054805,26.50303188292149,26.332799284174059,24.481023354333986 
 05/03  03:10:00,27.6742811087246,27.41074740656932,25.793037964554239,26.451891052834968,26.275466427501045,25.161127205802765 
 05/03  03:20:00,27.61518398417255,27.332937529113765,25.525390069628224,26.39610246269002,26.21316071830378,25.254738526669603 
 05/03  03:30:00,27.568552521969744,27.271660647581258,25.5233715230044,26.343122198697619,26.154114107010615,24.75760062646389 
