Date/Time,THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,28.26414717307985,28.31277849836074,25.164439406297526,27.22265925725866,27.178286653956989,25.427909081224695 
 05/03  00:20:00,28.22378328460472,28.25606453703756,25.68804544297251,27.196459180034837,27.14693538702627,25.996994612983376 
 05/03  00:30:00,28.19245761231156,28.212284858016049,26.046901842739027,27.167123761279286,27.112100499110427,25.559780213726989 
 05/03  00:40:00,28.116075309053917,28.110131648043443,25.674711361222465,27.126901053975517,27.065281357936624,25.68373769372446 
 05/03  00:50:00,28.06685680302825,28.039164965951295,25.603690705331624,27.090641299948545,27.02250880245049,25.430207325945447 
 05/03  01:00:00,28.030832131245377,27.98505250260616,25.383591745755408,27.050890884401775,26.97615561907413,25.669232737215766 
 05/03  01:10:00,28.006560955812703,27.954665690485684,24.89428394330842,27.012787485742494,26.930340346850735,25.567756920709124 
 05/03  01:20:00,27.99168704629328,27.926875783431649,26.023648683489879,26.969022835955238,26.879985318705349,24.9091265553673 
 05/03  01:30:00,27.955962886695976,27.8736583176835,26.215814065653299,26.91949926703235,26.824095394477287,24.938423860882148 
 05/03  01:40:00,27.92012987959693,27.82024367113731,26.254041112288986,26.867231506140393,26.766368619708137,24.93419204038273 
 05/03  01:50:00,27.900900156037215,27.796012424548729,25.683036035786814,26.82533032695143,26.7189600002445,25.20067525854048 
 05/03  02:00:00,27.85116266823207,27.731111729733095,25.431928499310659,26.77100966369811,26.658035085676766,24.935970427287154 
 05/03  02:10:00,27.801178578914724,27.666999964183977,25.447096603219305,26.72121233822147,26.601822488076058,24.75309539748895 
 05/03  02:20:00,27.758262384237598,27.613876735053329,25.44201283926695,26.671710288730329,26.54581342830709,24.652949904059175 
 05/03  02:30:00,27.734714472645405,27.587268878601454,24.89445602869263,26.62831868461096,26.496623455119573,24.97565138273152 
 05/03  02:40:00,27.68709749232256,27.526264083909358,25.180732376667508,26.57396401183663,26.435581263585087,24.50341620455842 
 05/03  02:50:00,27.654644041207175,27.486586220748444,24.43980199306002,26.527174257249827,26.382657222095426,25.165157499895757 
 05/03  03:00:00,27.621583142279456,27.44406413733735,24.659919759780416,26.47831022886004,26.327637232833398,24.43717881864392 
 05/03  03:10:00,27.57922126246717,27.391155764367477,24.11189826694996,26.42719731662486,26.27032777188711,25.133328491565295 
 05/03  03:20:00,27.54453859912293,27.345875596921084,23.976451431591614,26.375572139700965,26.212511433174489,25.37031217827262 
 05/03  03:30:00,27.49897982889645,27.287972208201219,23.930746235291588,26.322562022740955,26.153460482859388,24.623354079869825 
 05/03  03:40:00,27.456726424142376,27.235101489033988,23.61992197573771,26.271374068548086,26.09651343024619,25.178066436033949 
 05/03  03:50:00,27.40250591342302,27.167395227238147,23.534172562607777,26.21393079490018,26.03300766646128,24.385005155133297 
 05/03  04:00:00,27.339936045013169,27.08792453825244,23.2884626160164,26.15509249094694,25.96812450198243,24.48196684848081 
 05/03  04:10:00,27.301527193250025,27.039405033074144,23.20955836536563,26.098412605352999,25.905727299344034,24.864071564655764 
 05/03  04:20:00,27.2585166776285,26.98695395354229,22.90850293378706,26.04739529647906,25.849718320824999,24.54312769533117 
 05/03  04:30:00,27.19369834337109,26.901682966745928,23.27615572411048,25.978965874712288,25.775045777283475,24.142151421023028 
 05/03  04:40:00,27.149955019914367,26.843282520074287,23.186671068668134,25.919753063325964,25.71041277987692,24.267626037254965 
 05/03  04:50:00,27.118268342351667,26.799740163749975,23.323989127723075,25.858127411269487,25.643285150923015,24.08331891656387 
 05/03  05:00:00,27.092186277438949,26.76500330061463,23.646221991011296,25.800406574012024,25.580362725440087,23.467235860879236 
 05/03  05:10:00,27.051701225289184,26.71166477063742,23.735890437052999,25.737672308859105,25.51211427507552,23.65536684635871 
 05/03  05:20:00,26.992001376571886,26.642867685916707,23.087008469008056,25.677895934294744,25.44694706734688,23.34181733380273 
 05/03  05:30:00,26.93759043828132,26.577871122873288,22.672125753649739,25.619717918985736,25.38351345759498,23.909825036393508 
 05/03  05:40:00,26.87203451884244,26.503115366444129,22.12826717465712,25.561620004971024,25.320060901935208,23.73939309104383 
 05/03  05:50:00,26.82218094830626,26.441296176753025,22.32899302488831,25.499198995298568,25.252091665223323,23.15373999580835 
 05/03  06:00:00,26.778205813004239,26.386670908181367,22.39229908381801,25.439750619236265,25.187396176329814,22.978349038258878 
 05/03  06:10:00,26.699751590284416,26.289255321697298,22.335451808434667,25.36759112029055,25.109192436476666,23.134091989369609 
 05/03  06:20:00,26.651065670889058,26.22577729132622,22.401948688639917,25.301841607198328,25.037927115358515,23.277662969815 
 05/03  06:30:00,26.636989213300553,26.203044023332756,23.32262561662787,25.237928946584476,24.968665113325426,22.35331982523242 
