Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  00:10:00,-1.355302828,43.14535612,-1.355302828,43.14535612
 05/03  00:20:00,-1.44290326,47.81074733,-1.44290326,47.81074733
 05/03  00:30:00,-1.283665341,39.43118279,-1.283665341,39.43118279
 05/03  00:40:00,-1.294153227,39.9680409,-1.294153227,39.9680409
 05/03  00:50:00,-1.33730275,42.20222691,-1.33730275,42.20222691
 05/03  01:00:00,-1.427158179,46.96436362,-1.427158179,46.96436362
 05/03  01:10:00,-1.569728471,54.69657901,-1.569728471,54.69657901
 05/03  01:20:00,-1.469568999,49.25016164,-1.469568999,49.25016164
 05/03  01:30:00,-1.396088745,45.30345935,-1.396088745,45.30345935
 05/03  01:40:00,-1.360056827,43.39544885,-1.360056827,43.39544885
 05/03  01:50:00,-1.461844481,48.83249326,-1.461844481,48.83249326
 05/03  02:00:00,-1.538903145,53.01686059,-1.538903145,53.01686059
 05/03  02:10:00,-1.562650737,54.31087447,-1.562650737,54.31087447
 05/03  02:20:00,-1.579975197,55.25489127,-1.579975197,55.25489127
 05/03  02:30:00,-1.716439254,62.62988125,-1.716439254,62.62988125
 05/03  02:40:00,-1.713894114,62.49417708,-1.713894114,62.49417708
 05/03  02:50:00,-1.880555044,71.09758236,-1.880555044,71.09758236
 05/03  03:00:00,-1.87473552,70.80918666,-1.87473552,70.80918666
 05/03  03:10:00,-2.020753635,77.69084029,-2.020753635,77.69084029
 05/03  03:20:00,-2.108765476,81.4244065,-2.108765476,81.4244065
 05/03  03:30:00,-2.153162152,83.17287132,-2.153162152,83.17287132
 05/03  03:40:00,-2.266611748,87.20042766,-2.266611748,87.20042766
 05/03  03:50:00,-2.353466903,89.84135588,-2.353466903,89.84135588
 05/03  04:00:00,-2.452264865,92.37865159,-2.452264865,92.37865159
 05/03  04:10:00,-2.514744387,93.73516812,-2.514744387,93.73516812
 05/03  04:20:00,-2.610791833,95.4697341,-2.610791833,95.4697341
 05/03  04:30:00,-2.519191325,93.82466107,-2.519191325,93.82466107
 05/03  04:40:00,-2.54200235,94.26936752,-2.54200235,94.26936752
 05/03  04:50:00,-2.536857269,94.17114661,-2.536857269,94.17114661
 05/03  05:00:00,-2.478702515,92.9754898,-2.478702515,92.9754898
 05/03  05:10:00,-2.455247269,92.447682,-2.455247269,92.447682
 05/03  05:20:00,-2.625641327,95.70225162,-2.625641327,95.70225162
 05/03  05:30:00,-2.760430147,97.42307178,-2.760430147,97.42307178
 05/03  05:40:00,-2.938003584,98.80910687,-2.938003584,98.80910687
 05/03  05:50:00,-2.930599858,98.767236,-2.930599858,98.767236
 05/03  06:00:00,-2.919824898,98.70414895,-2.919824898,98.70414895
 05/03  06:10:00,-2.967985888,98.96689683,-2.967985888,98.96689683
 05/03  06:20:00,-2.988948786,99.06661065,-2.988948786,99.06661065
 05/03  06:30:00,-2.810742123,97.90478377,-2.810742123,97.90478377
 05/03  06:40:00,-2.768085306,97.50150151,-2.768085306,97.50150151
 05/03  06:50:00,-2.793266524,97.74633176,-2.793266524,97.74633176
 05/03  07:00:00,-2.880136909,98.44861074,-2.880136909,98.44861074
 05/03  07:10:00,-3.048713121,99.307954,-3.048713121,99.307954
 05/03  07:20:00,-3.129419355,99.54881262,-3.129419355,99.54881262
 05/03  07:30:00,-2.983137899,99.03980677,-2.983137899,99.03980677
 05/03  07:40:00,-2.7396711,97.20065919,-2.7396711,97.20065919
 05/03  07:50:00,-2.593813948,95.19256492,-2.593813948,95.19256492
 05/03  08:00:00,-2.485140231,93.11571123,-2.485140231,93.11571123
 05/03  08:10:00,-2.36272912,90.10017053,-2.36272912,90.10017053
 05/03  08:20:00,-2.267938092,87.2436661,-2.267938092,87.2436661
 05/03  08:30:00,-2.22011951,85.62812593,-2.22011951,85.62812593
 05/03  08:40:00,-2.159103737,83.39968466,-2.159103737,83.39968466
 05/03  08:50:00,-2.085807249,80.48391835,-2.085807249,80.48391835
 05/03  09:00:00,-2.035653218,78.34676312,-2.035653218,78.34676312
 05/03  09:10:00,-0.058612599,5.071126214,-0.058612599,5.071126214
 05/03  09:20:00,0.06634822,5.091143363,0.06634822,5.091143363
 05/03  09:30:00,0.304803887,6.93079172,0.304803887,6.93079172
 05/03  09:40:00,0.329470269,7.257335359,0.329470269,7.257335359
 05/03  09:50:00,0.243061645,6.226101006,0.243061645,6.226101006
 05/03  10:00:00,0.285803844,6.696813273,0.285803844,6.696813273
 05/03  10:10:00,0.386767587,8.115613878,0.386767587,8.115613878
 05/03  10:20:00,0.445247667,9.136223006,0.445247667,9.136223006
 05/03  10:30:00,0.474803561,9.707917042,0.474803561,9.707917042
 05/03  10:40:00,0.602085561,12.60130168,0.602085561,12.60130168
 05/03  10:50:00,0.611249938,12.83673222,0.611249938,12.83673222
 05/03  11:00:00,0.634075008,13.43894586,0.634075008,13.43894586
 05/03  11:10:00,0.71197066,15.6641224,0.71197066,15.6641224
 05/03  11:20:00,0.750797768,16.87105642,0.750797768,16.87105642
 05/03  11:30:00,0.897345478,22.00249214,0.897345478,22.00249214
 05/03  11:40:00,0.944450756,23.84010409,0.944450756,23.84010409
