Date/Time,THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,27.40572695880389,27.113812254432508,27.708771130218126,27.00288796250091,26.853438465224035,25.607492119787826 
 05/03  00:20:00,27.35981835640026,27.05881840739221,27.63098413282307,26.976602590032589,26.82217888730986,25.863176892025558 
 05/03  00:30:00,27.28077561747984,26.960209226434615,27.497867908379349,26.936789666955187,26.77544112704514,25.512516448965333 
 05/03  00:40:00,27.224669309666358,26.88830071957459,27.39920707507486,26.90015923433362,26.733254893911746,25.667004262194607 
 05/03  00:50:00,27.22043913253495,26.88218043433841,27.390859920331019,26.866217492863706,26.69446065239275,25.315804538711818 
 05/03  01:00:00,27.19855914141209,26.856405646568765,27.341260495907425,26.822553560934609,26.645249415395886,25.536444048708075 
 05/03  01:10:00,27.154565888331054,26.804984422842698,27.2381956017742,26.77332061827667,26.589594043364138,25.34273244610466 
 05/03  01:20:00,27.145849100284467,26.790684643803094,27.23499980428926,26.733556193860875,26.544103150760664,24.842602389368545 
 05/03  01:30:00,27.12010622836103,26.75653197485753,27.197842467401835,26.684189113730989,26.488376326719924,24.94699418133271 
 05/03  01:40:00,27.090374747037349,26.715888424829769,27.145589721780995,26.629379075048275,26.426385732536816,24.862459012128065 
 05/03  01:50:00,27.074766440670929,26.69618034144391,27.11602602735055,26.587198442992049,26.377724669480103,25.14419987026028 
 05/03  02:00:00,27.0436531662866,26.657021882198174,27.05877164394127,26.536628471170827,26.320107248780837,24.855596072991856 
 05/03  02:10:00,27.000866822241418,26.60262657891669,26.98144957966678,26.482793700204348,26.257468220337029,24.67950000204253 
 05/03  02:20:00,26.960040675723279,26.550003588561006,26.908912598979929,26.433839510354937,26.200826322691524,24.603454239728966 
 05/03  02:30:00,26.940682147573186,26.526971440043384,26.868917266875429,26.392754084592008,26.153020064700589,24.875436957702584 
 05/03  02:40:00,26.90023462716063,26.473824529444827,26.799267098286266,26.33783830156208,26.091109174465467,24.466658061965615 
 05/03  02:50:00,26.874773924591787,26.443429207111558,26.74429881579949,26.29246332766913,26.03895676323266,25.07553115725834 
 05/03  03:00:00,26.846603445079304,26.407358601687475,26.705929772570636,26.24422634398121,25.984350886587977,24.376798058488999 
 05/03  03:10:00,26.794838364514328,26.342290719484276,26.60689331573653,26.188800408561183,25.922655481792526,24.89189772201422 
 05/03  03:20:00,26.777488529002576,26.319935765921099,26.567133505984495,26.14332721742106,25.871662143252796,25.30094664683999 
 05/03  03:30:00,26.740751123475243,26.27418970939616,26.506246149884846,26.088705628196509,25.81142851868657,24.495413832762315 
 05/03  03:40:00,26.70513215838575,26.230576363789234,26.43457136067355,26.03663747933231,25.754630540211474,25.032895732505474 
 05/03  03:50:00,26.66146883873454,26.177281256006894,26.3597246045768,25.981897324963066,25.696147270728493,24.288660535166586 
 05/03  04:00:00,26.62925965461531,26.136967618251199,26.294568463720645,25.92958850718069,25.639227937019954,24.881649962079036 
 05/03  04:10:00,26.587325262351635,26.084951864579446,26.22577819391556,25.87099174898912,25.575611948541878,24.444752902089957 
 05/03  04:20:00,26.527832936490709,26.012209378995935,26.115183219988987,25.809943352958745,25.509459271077913,24.527778423346928 
 05/03  04:30:00,26.506089582315878,25.98116931917489,26.104145207737298,25.750838929967388,25.445744902757889,23.93287025281682 
 05/03  04:40:00,26.468232799627335,25.931701119023985,26.055272879383894,25.69210702551023,25.382499834805896,24.14758535673704 
 05/03  04:50:00,26.4322537801416,25.88220719663956,26.013061050675274,25.626961241242144,25.312356261859436,23.863067859510215 
 05/03  05:00:00,26.410885004976003,25.85350785972023,25.998807078768374,25.57259250209565,25.254063128721385,23.360857288942478 
 05/03  05:10:00,26.375714820412779,25.806952239795,25.96282380634683,25.511118523601149,25.187920648784858,23.651094891824273 
 05/03  05:20:00,26.321055026671727,25.744544403177146,25.85685507695178,25.451426779743647,25.12372281390042,23.24964472380843 
 05/03  05:30:00,26.273552649195794,25.688156326078535,25.76405132130397,25.394004948069317,25.061825453609779,23.79150594895942 
 05/03  05:40:00,26.195992402339635,25.5992573227235,25.60716830843752,25.331215738678944,24.99408099299505,23.630587541518975 
 05/03  05:50:00,26.161458246479044,25.556083872577366,25.561825762550634,25.270819743744899,24.929035420675186,23.107606009781394 
 05/03  06:00:00,26.117248910691364,25.5001434532419,25.5078235214733,25.210708391895076,24.864351980484235,22.820024964250348 
 05/03  06:10:00,26.085921530170468,25.460816667087174,25.459785958821045,25.14879123149592,24.79795144769126,23.18871645481306 
 05/03  06:20:00,26.050957344115575,25.413988186886745,25.414947738801624,25.0835422787699,24.727899131072,23.271616429809968 
 05/03  06:30:00,26.026741329132045,25.378069202586987,25.40415779090248,25.01635654459821,24.655922443864076,22.3322079053832 
 05/03  06:40:00,25.98186234855656,25.320960305841298,25.359630155390226,24.952782545440198,24.587757077998888,22.306323810716266 
 05/03  06:50:00,25.937742749630336,25.264850568126087,25.32182555800916,24.885075981187734,24.51504802202752,22.454461218324537 
 05/03  07:00:00,25.927851031917336,25.24999776221069,25.32561100474539,24.828248608878149,24.454045927965667,22.776802089672555 
 05/03  07:10:00,25.898057068267144,25.20924006921679,25.303229959310874,24.76234258495945,24.382975421341656,23.759869936837867 
 05/03  07:20:00,25.87644620039731,25.179427520490436,25.287230788729557,24.70291091402713,24.319025085692887,23.661687417719869 
 05/03  07:30:00,25.882698176565456,25.175668923341566,25.35779315450813,24.64390101897508,24.255314057491704,23.263565940207934 
 05/03  07:40:00,25.915556383643563,25.195339992050845,25.49420413826581,24.588015081410317,24.194573603940776,23.108981606926088 
 05/03  07:50:00,25.95854298316094,25.223627927489078,25.628328527097368,24.535210636210416,24.136363202671885,23.38190049439241 
 05/03  08:00:00,25.992133654501435,25.245949887994564,25.727272859917279,24.486968206707699,24.08204011095822,23.671827889957418 
 05/03  08:10:00,26.023370754717015,25.270782345151305,25.805390040331348,24.447549247973357,24.03617004804822,24.106833559816566 
 05/03  08:20:00,26.05159009599674,25.288512094247336,25.88976530940602,24.41108321740965,23.992452492839428,24.080317466651743 
 05/03  08:30:00,26.06865714232749,25.29524734296027,25.954376555097566,24.37934635729791,23.953102619449035,24.07154253848307 
 05/03  08:40:00,26.083623814387975,25.300940051189355,26.009520906962565,24.358415350523303,23.925685289215346,24.14150160567577 
 05/03  08:50:00,26.105987764924934,25.315069939073014,26.071892797609637,24.344773824093907,23.906632572251789,24.2782045602059 
 05/03  09:00:00,26.13143438154951,25.335107997124969,26.135507528126277,24.336247187128188,23.89362562556834,24.20890639436703 
 05/03  09:10:00,26.149682953852428,25.353931210554948,26.327558849016549,24.33401392483629,23.888358225449715,24.59065878808274 
 05/03  09:20:00,26.179492837143714,25.384753682950448,26.5362767369564,24.335465371984886,23.887053533104127,24.78182526718812 
 05/03  09:30:00,26.21287513144505,25.41621249880244,26.675519492735125,24.342026567827813,23.891446801307059,24.914084049808229 
 05/03  09:40:00,26.241654987529928,25.44731642378605,26.744327877542199,24.35400407994443,23.902256106655778,24.828634500335693 
 05/03  09:50:00,26.266520451027515,25.47739343366499,26.790050478748989,24.370397565962294,23.918048969766248,25.094037945869343 
 05/03  10:00:00,26.273008148118245,25.483214192352827,26.811685327692936,24.38958000340518,23.937147540905828,24.64413061182776 
 05/03  10:10:00,26.297240235046027,25.50924778401546,26.87574480647881,24.414545245980539,23.962522815183698,24.894651525771523 
 05/03  10:20:00,26.349928809947998,25.569071976008947,26.98889862766503,24.444616571563409,23.993494456276364,24.847352451809536 
 05/03  10:30:00,26.38498308024061,25.610706314945007,27.061967459254015,24.472406390934414,24.022347898605326,25.12433733269746 
 05/03  10:40:00,26.422477478631156,25.651990166541944,27.146334249494247,24.50484507806838,24.056085540468457,25.697477013183908 
 05/03  10:50:00,26.455912402375085,25.69424306393843,27.219390936447704,24.539232735508308,24.09180532382907,25.279310510496559 
 05/03  11:00:00,26.508336832122013,25.760784929617377,27.334105241041216,24.580924345260198,24.135041579591794,25.392683344569315 
 05/03  11:10:00,26.56391238525699,25.828674868475067,27.452964437405428,24.62052240230923,24.17552738575238,25.79584487003261 
 05/03  11:20:00,26.61262566815388,25.888159177392337,27.559730235335416,24.66525359198911,24.221167069813544,25.78987842722998 
 05/03  11:30:00,26.666756375806285,25.948572926362826,27.67124529582942,24.713646294048219,24.27181804712214,27.00156487857837 
 05/03  11:40:00,26.733684508233368,26.026990843637266,27.8072341807422,24.763675113924383,24.32554593649601,27.109253777073488 
 05/03  11:50:00,26.811026148386323,26.11371167043168,27.955676514281849,24.81940824431326,24.386948080244165,27.3007623727582 
 05/03  12:00:00,26.893585334167459,26.202898783725844,28.105343787905487,24.876519355169138,24.450064918709594,27.228969304171394 
 05/03  12:10:00,26.95711728822741,26.271418190068969,28.223920049983254,24.932202544919066,24.512777465152529,28.30668729849137 
 05/03  12:20:00,27.028248338474559,26.351080076927425,28.348408500686025,24.99523879737793,24.584553446238919,27.479796119922747 
 05/03  12:30:00,27.041048351969775,26.371962230202717,28.36509749138324,25.062017519639853,24.655557425692238,26.942503286789223 
 05/03  12:40:00,27.070740640446635,26.409553935054839,28.42100384618646,25.13661664177696,24.736771838170367,28.226116162408915 
 05/03  12:50:00,27.116340438387238,26.46862589125333,28.49080585787358,25.214537981993354,24.822162589768408,27.387507053937058 
 05/03  13:00:00,27.138519320933378,26.502504516634269,28.540131931627376,25.296535148969384,24.913171396943534,28.797908663831579 
 05/03  13:10:00,27.184506596345849,26.564356296679546,28.635721806277915,25.38576760735429,25.01259896067455,28.821205458765939 
 05/03  13:20:00,27.279797926780625,26.67807368275382,28.79727483938719,25.476766306563957,25.115245162361096,29.05054063169225 
 05/03  13:30:00,27.338114085395188,26.74891711561888,28.90173108258478,25.554523113781984,25.205062691290988,28.14342972848022 
 05/03  13:40:00,27.379927616609998,26.803528956073007,28.96238883161204,25.63328084241062,25.298118752529743,28.808611511671285 
 05/03  13:50:00,27.48971038496921,26.933442882562369,29.144678374543724,25.727195714525214,25.415324165745696,28.63395676737203 
 05/03  14:00:00,27.577009286666035,27.036870828318,29.305215641586444,25.82010736234889,25.534477344355428,30.056716670218905 
 05/03  14:10:00,27.52989770269239,27.006751290698703,29.24314648587258,25.909286366971906,25.642757679655327,29.09859467591236 
 05/03  14:20:00,27.568459395112329,27.06115574219546,29.3173949350371,26.004028586757426,25.754254432305126,29.63684089632379 
 05/03  14:30:00,27.663323265233268,27.177692215409534,29.482557592029115,26.113570089107318,25.881292733352774,28.761965297133409 
 05/03  14:40:00,27.791865294790268,27.331698259018766,29.723730356649317,26.21472115742268,25.999259095153499,31.793466708687509 
 05/03  14:50:00,27.826979310555339,27.385043253953577,29.76677682177225,26.309857153751186,26.112891655209567,30.528083277447136 
 05/03  15:00:00,27.864008285060466,27.437599504830496,29.825178858565744,26.401640110429925,26.223317920160544,30.149286192640277 
 05/03  15:10:00,27.997866338422079,27.606188807850495,30.048235706735825,26.525813484148338,26.375529680960545,30.910511933135909 
 05/03  15:20:00,28.092718717958407,27.73012170403298,30.20069336149067,26.623014843344604,26.483331478116058,31.346693743697853 
 05/03  15:30:00,28.073589373053868,27.72104686135952,30.145442824252844,26.71275775385316,26.593343562289588,30.533633395267253 
 05/03  15:40:00,28.075823502171958,27.73927088740827,30.14504707595493,26.824520071761737,26.72873900480996,30.347489001850986 
 05/03  15:50:00,28.098486154877507,27.779972731649449,30.184258110628606,26.931230713715885,26.858549527118638,30.992688696078269 
 05/03  16:00:00,28.082878776598883,27.79086346676341,30.149017934686737,27.040217508101564,26.990595110339404,30.793140239682925 
 05/03  16:10:00,28.078792848008196,27.810753271790646,30.19826662590017,27.145111589896524,27.11857594351325,31.849617769344424 
 05/03  16:20:00,28.02129759187567,27.778822185361606,30.073429505993667,27.236379842124785,27.227923679399536,30.583863577556625 
 05/03  16:30:00,27.921229905838655,27.719161987577956,29.841257716855904,27.347607811022458,27.358698161310497,29.307511182794977 
 05/03  16:40:00,27.90611150072345,27.719081480332599,29.7692925850913,27.421615063923647,27.443906123035803,28.964140116738805 
 05/03  16:50:00,27.8590052832118,27.707642535128305,29.620691013930285,27.524443512257684,27.559494507475237,28.476570753678414 
 05/03  17:00:00,27.871812343254367,27.745426701281258,29.64900287019106,27.590409954365528,27.63159201671668,29.071101984272084 
 05/03  17:10:00,27.878333419405185,27.76379531102733,29.604485771304476,27.640309101502227,27.685266248085364,28.1159148678736 
 05/03  17:20:00,27.873221148306884,27.78230614846148,29.525788417155029,27.69256857625402,27.739779735675783,27.478069200228803 
 05/03  17:30:00,27.870978564590584,27.797637230310344,29.47924145672017,27.730247323158328,27.777987248831903,27.49371671773202 
 05/03  17:40:00,27.892187266965665,27.820919528658309,29.53425356413492,27.748913166296487,27.79573653677452,27.942668221689176 
 05/03  17:50:00,27.928817473420034,27.867181384312809,29.610756742961319,27.770518341855579,27.815433697449224,28.24657424746841 
 05/03  18:00:00,27.95846804796812,27.903228886081427,29.674190428006609,27.78000886145169,27.822414984112016,28.427666964978856 
 05/03  18:10:00,27.972862103396638,27.919663921892629,29.55280316726031,27.782264528300879,27.821653443736439,28.281379907326327 
 05/03  18:20:00,27.980749186947294,27.92684417983871,29.434465577654409,27.783070839378284,27.819260838308826,28.461071808969398 
 05/03  18:30:00,27.9799063906382,27.92344928767367,29.374623963815734,27.7837926455612,27.816737337078818,28.52956845537205 
 05/03  18:40:00,27.973605224555173,27.914245706985036,29.339912830328886,27.784251213864935,27.813932951368284,28.3188229631417 
 05/03  18:50:00,27.963016781602929,27.900287690737988,29.310837616643217,27.784501874140024,27.810871864393925,28.278593646134604 
 05/03  19:00:00,27.951728860253309,27.88532712771554,29.2547999137946,27.784491808408676,27.807445308176093,28.161754041071917 
 05/03  19:10:00,27.94196433108886,27.87156134505299,29.196796820935764,27.783834919359355,27.803222006383029,28.10474036813284 
 05/03  19:20:00,27.92977310085759,27.855069508090844,29.14513091095683,27.78208503175375,27.79771169794136,28.0952781998305 
 05/03  19:30:00,27.911793388617676,27.83279868373239,29.08039448248298,27.778968137067648,27.790603503635823,27.890075272681604 
 05/03  19:40:00,27.896215916632554,27.812578139584287,29.024988405035314,27.774287032036477,27.7816874393953,27.90693221632162 
 05/03  19:50:00,27.886917852787975,27.800504756825864,28.98129302856406,27.768653899746817,27.772403572079435,27.494464817099634 
 05/03  20:00:00,27.86734386200892,27.77578982401505,28.898423602068065,27.75992163114317,27.758810320120455,27.221295215824136 
