tiempo,Ti_CI
2019-06-08 00:00:00,
2019-06-08 01:00:00,25.07782171707723
2019-06-08 02:00:00,24.46459304209969
2019-06-08 03:00:00,24.452178966519703
2019-06-08 04:00:00,23.787841496653765
2019-06-08 05:00:00,22.8512471894492
2019-06-08 06:00:00,22.057833825324284
2019-06-08 07:00:00,22.907513057851073
2019-06-08 08:00:00,24.08087032293848
2019-06-08 09:00:00,24.288119367643
2019-06-08 10:00:00,25.381662450626358
2019-06-08 11:00:00,26.438508210084137
2019-06-08 12:00:00,27.54873028477992
2019-06-08 13:00:00,28.464579623091137
2019-06-08 14:00:00,29.26791426595535
2019-06-08 15:00:00,29.825955397572
2019-06-08 16:00:00,30.245868002997135
2019-06-08 17:00:00,30.91160957317389
2019-06-08 18:00:00,30.281316386853753
2019-06-08 19:00:00,29.84946624277669
2019-06-08 20:00:00,28.870470267722503
2019-06-08 21:00:00,28.570421641588922
2019-06-08 22:00:00,28.83267322022708
2019-06-08 23:00:00,28.013433815620925
2019-06-09 00:00:00,
2019-06-09 01:00:00,26.755002622021106
2019-06-09 02:00:00,26.843283647504567
2019-06-09 03:00:00,26.983655399877016
2019-06-09 04:00:00,25.53803319688663
2019-06-09 05:00:00,25.670117408152624
2019-06-09 06:00:00,25.659129779226195
2019-06-09 07:00:00,26.00816077052209
2019-06-09 08:00:00,26.36808044262937
2019-06-09 09:00:00,27.53442699622645
2019-06-09 10:00:00,27.999199577545934
2019-06-09 11:00:00,28.733523190503202
2019-06-09 12:00:00,29.74405061564741
2019-06-09 13:00:00,30.253597710923906
2019-06-09 14:00:00,31.034181330712553
2019-06-09 15:00:00,31.730950212470823
2019-06-09 16:00:00,31.935937633139535
2019-06-09 17:00:00,32.43823823508284
2019-06-09 18:00:00,32.60928350441862
2019-06-09 19:00:00,32.51506272171327
2019-06-09 20:00:00,30.92256888423648
2019-06-09 21:00:00,29.84744195989734
2019-06-09 22:00:00,30.04608285599789
2019-06-09 23:00:00,29.70611862237628
2019-06-10 00:00:00,
2019-06-10 01:00:00,
2019-06-10 02:00:00,
2019-06-10 03:00:00,
2019-06-10 04:00:00,
2019-06-10 05:00:00,
2019-06-10 06:00:00,
2019-06-10 07:00:00,
2019-06-10 08:00:00,
2019-06-10 09:00:00,
2019-06-10 10:00:00,
2019-06-10 11:00:00,
2019-06-10 12:00:00,
2019-06-10 13:00:00,
2019-06-10 14:00:00,
2019-06-10 15:00:00,
2019-06-10 16:00:00,
2019-06-10 17:00:00,
2019-06-10 18:00:00,
2019-06-10 19:00:00,
